tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz
1,1,1,0,1,1,-0.90,0.13,0.36,51.94,-801.95,580.83,0
1,0,1,0,1,0,-0.95,0.21,0.47,101.89,629.15,240.42,0
1,0,1,0,1,0,-0.86,0.15,0.26,-37.73,1110.52,-826.43,0
1,1,1,0,1,1,-0.80,0.04,-0.05,-56.54,801.14,-977.83,0
1,1,0,0,1,1,-0.78,-0.25,-0.22,1.62,-199.99,-725.30,4
1,1,0,0,1,1,-0.95,-0.43,-0.10,123.61,-478.19,224.58,4
1,1,0,0,1,1,-0.94,-0.20,0.08,207.82,-644.55,705.09,4
1,1,1,0,1,0,-1.08,-0.16,0.23,-23.73,1138.68,833.24,4
1,1,1,0,1,1,-0.85,0.13,-0.20,-233.34,1125.39,-26.86,0
1,1,0,0,1,1,-0.73,0.03,-0.51,14.22,-23.03,-218.36,0
0,1,0,0,1,1,-0.91,-0.05,-0.35,82.05,-881.73,160.42,4
1,1,1,0,1,1,-0.97,0.27,-0.03,151.83,-779.36,1062.04,0
1,0,1,0,1,1,-1.14,0.25,-0.09,24.70,-32.38,424.24,0
1,0,1,0,1,1,-0.90,0.29,-0.08,-275.60,-108.91,-701.68,0
1,1,1,0,1,1,-0.96,0.10,-0.08,-127.34,-57.24,-1569.09,0
1,1,1,0,1,1,-0.95,-0.20,0.01,95.89,-90.91,-906.16,4
1,1,1,0,1,1,-0.76,-0.17,0.07,-182.53,35.67,627.96,4
1,1,1,0,1,1,-0.88,0.04,-0.04,-138.15,60.48,1273.70,0
1,0,1,0,1,1,-1.05,0.16,-0.01,-74.10,-291.66,190.53,0
1,1,1,0,1,1,-1.08,0.20,0.17,-138.37,-1080.47,-625.42,0
1,1,1,0,1,1,-0.75,0.10,0.39,-174.04,-922.43,-180.20,0
1,1,1,1,1,0,-0.82,0.01,0.61,-95.72,217.01,113.02,0
1,1,1,0,1,0,-0.84,0.04,0.36,-203.07,1583.41,93.99,0
1,1,1,0,1,1,-0.83,0.03,-0.04,-133.34,1185.65,-350.90,0
1,1,1,0,1,1,-0.86,-0.14,-0.35,-68.21,-32.16,-621.80,4
1,1,0,0,1,1,-0.91,-0.34,-0.14,32.16,-864.97,-886.92,4
1,1,0,0,1,1,-0.45,-0.40,-0.04,104.59,-184.20,-127.67,0
1,1,0,0,1,1,-0.70,-0.29,0.20,332.03,-457.86,770.06,4
1,1,1,0,1,1,-0.87,-0.07,0.36,308.52,-594.45,985.50,4
1,1,1,1,1,0,-0.74,0.18,0.41,-87.29,283.87,546.99,0
1,0,1,0,1,0,-0.89,0.12,0.29,68.59,612.66,266.74,0
1,0,1,0,1,1,-0.89,0.20,0.10,-228.63,597.04,-768.17,0
1,1,1,0,1,1,-0.89,-0.12,-0.09,-78.21,-16.92,-1044.42,4
1,1,0,0,1,1,-0.73,-0.09,-0.07,98.48,-240.15,63.89,4
1,1,1,0,1,1,-0.85,0.00,0.26,244.52,-174.53,1048.91,0
1,0,1,0,1,1,-1.14,-0.03,0.16,-223.28,107.24,-290.31,4
1,1,1,0,1,1,-0.92,-0.17,0.29,-369.76,-103.45,-1188.79,4
1,1,1,0,1,1,-0.72,-0.36,0.13,-312.36,-279.50,-757.95,4
1,1,1,0,1,1,-0.69,-0.36,0.15,179.07,-46.32,508.83,4
1,1,1,0,1,1,-0.82,-0.21,0.28,360.52,21.13,1331.16,4
1,1,1,0,1,1,-0.91,0.23,0.35,345.82,-446.57,1296.94,0
1,0,1,0,1,0,-0.98,0.32,0.33,127.94,267.55,797.14,0
