tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz
1,1,1,1,0,1,0.99,0.49,-0.23,-133.74,498.10,95.44,5
1,1,1,1,0,1,0.98,0.34,-0.11,552.74,-151.44,-2498.89,5
1,1,1,1,0,1,0.93,-0.64,-0.09,181.06,-43.45,-1242.36,0
0,1,0,1,0,1,0.77,-0.64,-0.14,337.17,101.63,1704.18,0
1,1,1,1,0,1,1.11,0.43,-0.15,302.48,-165.12,1916.05,5
1,1,1,1,0,1,1.08,0.37,-0.17,4.99,-237.71,464.23,5
1,1,1,1,0,1,0.80,0.31,-0.21,492.15,-523.61,602.07,5
1,1,1,1,0,1,0.95,0.46,0.05,1124.08,-1339.65,-1304.57,5
1,1,1,1,0,1,1.10,0.16,0.79,-233.76,-116.12,-1314.63,0
1,1,1,1,0,1,0.76,-0.21,0.10,98.57,118.69,-443.22,5
1,1,1,1,0,1,0.97,-0.13,0.40,-281.48,-1052.22,37.58,5
1,1,1,1,0,1,0.82,0.01,0.82,105.33,-675.94,44.50,0
1,1,1,1,1,0,0.88,-0.05,0.98,135.51,697.67,-71.38,0
1,1,1,1,1,1,0.71,-0.18,0.40,-116.44,2157.14,3.86,0
1,1,1,1,0,1,0.93,-0.06,-0.23,122.23,1029.93,188.78,5
1,1,1,1,0,1,1.15,0.05,-0.00,99.06,478.87,203.10,5
1,1,1,1,0,1,0.87,-0.15,-0.26,151.04,1635.30,250.58,5
1,1,1,1,0,1,0.71,0.18,-0.83,396.39,1622.90,381.34,0
1,0,1,1,0,1,0.92,0.18,-0.82,97.53,29.29,-32.51,0
1,1,1,1,0,1,0.86,0.19,-0.72,-314.63,-920.33,-260.08,0
1,1,1,1,0,1,1.05,0.05,-0.15,70.09,-1208.09,-1022.76,5
0,1,1,1,0,1,0.94,-0.61,-0.12,224.19,-372.57,-231.43,0
0,1,1,1,0,1,0.73,-0.19,-0.36,-241.81,330.17,2414.56,5
1,1,1,1,0,1,0.86,0.85,-0.61,1.37,106.22,1795.59,0
1,0,1,1,0,1,0.99,0.79,-0.37,71.78,161.18,-818.05,0
1,1,1,1,0,1,0.82,0.26,-0.42,-123.20,389.23,-1959.10,0
1,1,1,1,0,1,1.01,0.12,-0.46,-59.31,-10.46,-1061.95,5
0,1,1,1,0,1,0.70,-0.13,-0.71,-249.13,-1252.75,-2101.37,0
0,1,0,1,0,1,0.87,-1.13,0.44,116.76,-368.71,-944.55,0
0,1,0,1,0,1,0.78,-0.65,-0.06,398.00,202.78,1350.03,0
0,1,1,1,0,1,0.97,0.03,-0.55,289.93,-901.82,1589.11,5
1,1,1,1,0,1,1.03,0.09,-0.13,169.31,-1495.92,446.60,5
1,1,1,1,0,1,1.04,0.02,0.50,-34.92,-1504.45,72.02,5
1,1,1,1,1,1,0.84,-0.12,0.83,51.50,-27.36,-229.34,0
1,1,1,1,0,1,0.79,-0.14,0.40,-448.37,1230.54,454.89,5
1,1,1,1,0,1,0.92,0.14,0.08,-525.06,901.42,1612.68,5
1,1,1,1,0,1,1.04,0.72,-0.14,85.62,323.73,702.01,0
1,1,1,1,0,1,0.98,0.59,-0.01,332.42,-329.20,-1605.04,0
1,1,1,1,0,1,0.84,-0.05,0.15,572.54,-182.26,-2191.02,5
1,1,1,1,0,1,0.83,-0.64,0.04,111.21,163.43,58.34,0
1,1,1,1,0,1,0.97,-0.03,0.01,-49.49,98.57,1353.09,5
1,1,1,1,0,1,1.20,0.33,0.30,21.81,-657.19,501.73,5
1,1,1,1,1,0,1.13,0.13,0.71,-22.93,1721.00,-600.94,0
1,1,1,1,0,1,0.59,-0.12,-0.64,-3.70,1861.50,-153.70,0
0,1,1,1,0,1,0.97,-0.27,-0.66,57.29,-541.32,548.40,0
1,1,1,1,0,1,1.00,0.25,-0.08,-325.74,43.21,2057.44,5
1,0,1,1,0,1,0.94,0.91,-0.26,24.78,246.64,351.97,0
1,0,1,1,0,1,0.71,0.55,-0.56,95.60,-81.03,-1874.05,0
1,1,1,1,0,1,0.92,-0.18,-0.36,165.61,-704.91,-1211.22,5
1,1,1,1,0,1,1.04,-0.30,0.02,98.09,1488.60,-353.34,5
0,1,1,1,0,1,0.59,-0.04,-1.44,194.49,1312.86,354.39,0
0,1,1,1,0,1,0.93,-0.00,-0.84,327.35,-628.38,224.27,0
1,1,1,1,0,1,0.88,0.20,-0.26,197.15,-1703.53,198.84,5
1,1,1,1,0,1,1.10,-0.01,0.14,156.75,424.15,-358.73,5
0,1,1,1,0,1,0.95,-0.23,-0.43,-79.99,-190.55,960.56,5
1,1,1,1,0,1,1.07,0.43,0.09,93.18,-488.93,1898.11,5
1,0,1,1,0,1,1.05,0.85,-0.23,36.45,140.74,189.51,0
1,0,1,1,0,1,0.80,0.77,-0.22,5.63,462.22,-2463.08,0
1,1,1,1,0,1,0.73,-0.49,-0.42,-103.97,-570.04,-1182.66,0
0,1,1,1,0,1,0.68,-0.21,-0.58,179.53,-2230.61,59.23,0
1,1,1,1,1,0,1.17,-0.11,1.24,-78.94,-398.08,-26.23,0
1,1,1,1,0,1,0.88,-0.17,0.40,151.68,1739.75,13.12,5
1,1,1,1,0,1,0.83,-0.10,-0.59,218.47,98.90,133.58,0
1,1,1,1,0,1,1.20,0.05,0.14,178.24,-735.41,-511.78,5
1,1,1,1,0,1,1.07,-0.33,0.34,328.31,-491.35,-1571.48,5
1,1,1,1,0,1,0.69,-0.77,0.09,153.78,-19.63,383.28,0
1,1,1,1,0,1,0.80,-0.28,0.10,54.72,594.35,1639.48,5
1,1,1,1,0,1,1.10,0.13,-0.08,-62.93,255.49,1170.75,5
1,1,1,1,0,1,0.80,0.18,-0.24,-84.90,-1223.62,1341.82,5
1,1,1,1,1,0,1.11,0.52,0.43,362.19,-658.24,831.17,0
1,1,1,1,0,0,0.90,0.56,0.31,356.40,-122.23,-1257.25,0
1,1,1,1,0,1,0.72,-0.03,0.21,112.58,-443.79,-1658.63,5
1,1,1,1,0,1,0.93,-0.25,0.66,276.25,336.12,-710.54,0
1,1,1,1,0,1,0.85,-0.26,0.31,362.11,642.87,16.98,5
1,1,1,1,0,1,0.80,-0.28,0.21,-424.48,857.40,2038.37,5
1,1,1,1,0,1,0.96,0.61,-0.12,-333.06,-188.78,1736.69,0
1,1,1,1,0,0,1.17,0.94,0.16,119.74,322.52,-546.63,0
1,1,1,1,0,1,0.60,0.28,-0.04,247.93,313.27,-2524.96,5
1,1,1,1,0,1,0.97,-0.20,0.14,260.96,-364.28,-1095.99,5
1,1,1,1,0,1,1.07,-0.24,0.23,-10.14,-211.15,-1146.53,5
1,1,1,1,0,1,0.81,-0.78,0.25,170.11,1333.05,-818.45,0
0,1,0,1,0,1,0.43,-0.72,-0.36,572.22,1163.75,1215.49,0
0,1,1,1,0,1,0.94,-0.25,-0.51,267.56,150.72,1395.66,0
1,1,1,1,0,1,1.00,0.09,-0.35,180.17,-453.52,2076.03,5
1,1,1,1,0,1,0.94,0.74,-0.24,48.76,-609.23,1200.52,0
1,0,1,1,0,1,0.87,0.46,-0.21,252.03,-114.19,59.63,5
1,0,1,1,0,1,0.95,0.71,-0.33,704.27,-1181.13,-898.92,0
1,1,1,1,1,1,0.93,0.12,0.60,395.99,-1279.78,-1168.01,0
1,1,1,1,0,1,0.88,0.10,0.23,109.68,-427.05,-161.82,5
1,1,1,1,1,1,1.00,0.11,0.67,89.00,-628.79,-709.98,0
1,1,1,1,1,1,0.88,-0.11,0.80,260.00,548.40,-43.78,0
1,1,1,1,0,1,0.66,-0.13,0.22,-488.29,1266.10,1533.34,5
1,1,1,1,0,1,1.01,0.55,0.02,-221.45,255.09,1005.87,5
1,1,1,1,0,1,1.02,0.66,0.00,522.00,-459.88,-1353.81,0
1,1,1,1,1,1,0.87,0.01,0.58,770.49,-852.81,-2420.68,0
1,1,1,1,0,1,0.74,-0.56,0.30,418.60,640.70,-958.23,0
1,1,1,1,0,1,0.78,-0.60,0.20,297.90,440.89,-0.32,0
0,1,1,1,0,1,0.79,-0.59,0.19,46.83,950.99,1325.49,0
1,1,1,1,0,1,1.00,0.18,-0.20,230.14,1183.62,1156.26,5
1,1,1,1,0,1,1.20,0.03,-0.19,224.99,-157.16,-229.98,5
1,1,1,1,0,1,0.90,-0.32,-0.19,-105.01,354.63,1441.85,5
1,1,1,1,0,1,0.90,0.53,-0.34,-232.31,-172.12,1750.05,0
1,0,1,1,0,1,1.00,0.80,-0.45,155.95,48.68,-281.56,0
1,1,1,1,0,1,0.78,0.46,-0.54,113.30,-478.63,-2031.29,0
1,1,1,1,0,1,1.09,-0.25,0.17,283.09,-536.33,-1163.75,5
1,1,1,1,0,1,1.05,0.02,-0.24,302.56,-210.75,-746.75,5
1,1,1,1,0,1,1.01,-0.43,0.36,-96.00,-1712.31,-1357.36,5
1,1,1,1,1,1,0.99,-0.41,0.92,-126.90,-144.60,494.24,0
1,1,1,1,0,1,0.77,-0.31,-0.07,295.32,315.36,510.90,5
1,1,1,1,0,1,0.88,-0.23,0.20,253.72,-1471.94,251.55,5
1,1,1,1,1,1,0.79,-0.38,0.77,-73.71,-597.73,38.95,0
1,1,1,1,1,0,0.83,-0.39,0.67,-136.23,716.74,26.96,0
1,1,1,1,0,1,0.65,-0.32,-0.00,-330.97,1682.93,520.56,5
1,1,1,1,0,1,1.00,-0.11,0.05,-447.65,114.11,889.35,5
1,1,1,1,0,1,1.02,0.11,0.34,-602.80,103.08,1749.88,5
1,1,1,1,0,1,1.02,0.69,-0.10,253.24,102.28,463.10,0
1,1,1,1,0,1,0.87,0.46,0.15,672.64,-470.02,-1333.94,5
1,1,1,1,0,1,0.96,0.03,0.43,597.56,-557.81,-804.61,5
1,1,1,1,0,1,0.79,-0.17,0.25,492.79,-1417.47,-531.34,5

1,1,1,1,1,0,0.75,-0.36,0.87,8.05,169.23,205.68,0
1,1,1,1,0,1,0.77,-0.03,0.45,-709.10,1004.74,1122.87,0
1,1,1,1,0,1,0.89,0.17,0.24,-467.04,628.22,913.25,5
1,1,1,1,0,1,0.76,0.47,0.05,-342.24,-199.24,1158.03,0
1,1,1,1,1,0,0.85,0.77,0.61,-128.11,-593.78,195.86,0
1,1,1,1,1,0,0.86,0.55,0.26,103.24,1115.46,-1431.79,0
1,1,1,1,0,1,0.69,0.00,-0.20,129.72,1149.74,-1356.71,5
1,1,1,1,0,1,1.24,0.26,0.04,164.88,216.86,-447.97,5
1,1,1,1,0,1,0.84,0.04,-0.11,284.94,1236.49,-1892.07,5
0,1,1,1,0,1,0.70,-0.94,-0.49,-18.27,193.13,145.73,0
0,1,1,1,0,1,0.94,-0.25,-0.25,18.11,105.01,1845.88,5
1,1,1,1,0,1,1.25,0.49,-0.19,-60.35,-147.50,1041.03,5
1,1,1,1,0,1,1.05,0.10,-0.23,19.80,205.60,816.92,5
1,1,1,1,0,1,0.92,0.60,-0.39,19.88,734.85,1156.50,0
1,0,1,1,0,1,0.62,0.82,-0.82,89.88,-14.73,-514.76,0
1,1,1,1,0,1,1.00,0.17,-0.16,192.64,-852.57,-1255.48,5
1,1,1,1,0,1,1.09,0.17,-0.21,22.37,174.94,-325.02,5
1,1,1,1,0,1,0.83,0.15,-0.61,213.73,-934.81,-837.36,0
1,1,1,1,0,1,0.98,-0.19,0.26,294.92,-1929.73,-341.51,5
1,1,1,1,0,1,1.16,-0.07,0.49,180.65,42.17,114.67,5
1,1,1,1,0,1,0.91,-0.03,-0.23,216.06,-683.75,-61.08,5
1,1,1,1,0,1,1.07,0.06,0.54,146.94,-1088.19,-735.01,5
1,1,1,1,0,1,0.79,-0.40,0.53,273.43,31.95,-552.10,0
1,1,1,1,0,1,0.62,-0.41,0.26,-556.61,261.93,1307.87,0
1,1,1,1,0,1,1.02,0.37,0.33,-537.21,14.00,1336.84,5
1,1,1,1,0,1,0.95,0.11,0.54,-394.62,403.96,816.52,5
1,1,1,1,0,1,0.73,0.60,0.16,-715.69,526.11,1742.96,0
1,0,1,1,0,0,0.89,1.06,0.19,168.82,159.09,-291.06,0
1,1,1,1,0,1,0.62,0.62,-0.02,930.55,185.00,-2475.40,0
1,1,1,1,0,1,0.97,-0.08,0.35,324.53,-668.30,-255.65,5
1,1,1,1,0,1,0.77,0.13,-0.25,296.13,-728.49,-469.14,5
1,1,1,1,1,1,0.94,-0.01,1.30,216.62,-378.45,-375.71,0
1,1,1,1,1,1,1.02,0.07,0.59,212.44,1199.07,-273.68,0
1,1,1,1,0,1,1.02,0.12,-0.05,157.24,808.15,-1130.67,5
1,1,1,1,0,1,0.98,-0.40,0.29,89.00,301.84,-1749.88,5
0,1,1,1,0,1,0.47,-0.72,-0.32,103.81,369.76,-252.51,0
0,1,0,1,0,1,0.70,-0.71,0.12,-103.16,338.61,1695.25,0
1,1,1,1,0,1,0.98,0.05,-0.08,271.50,238.83,1922.73,5
1,1,1,1,0,1,1.21,0.37,-0.06,119.26,-127.87,746.27,5
1,1,1,1,0,1,1.03,0.11,0.11,-470.99,428.74,1396.38,5
1,0,1,1,0,1,0.60,0.57,-0.47,-200.45,0.00,1499.14,0
1,0,1,1,0,1,0.98,1.10,-0.15,183.39,79.99,-1090.36,0
1,1,1,1,0,1,0.72,0.27,-0.15,252.43,357.85,-2636.74,5
1,1,1,1,0,1,1.03,-0.18,-0.03,-44.98,-77.57,-700.81,5
1,1,1,1,0,1,0.96,0.14,-0.35,79.99,-397.36,-1571.16,5
0,1,1,1,0,1,0.77,-0.75,0.19,145.89,-784.58,-1867.13,0
0,1,0,1,0,1,0.48,-1.18,-0.13,12.31,191.11,797.37,0
0,1,1,1,0,1,0.72,-0.40,0.01,253.48,347.95,2066.21,5
1,1,1,1,0,1,1.21,0.14,0.12,259.51,699.60,1153.37,5
1,1,1,1,0,1,0.96,0.05,-0.30,214.93,2149.17,-146.29,5
0,0,1,1,0,1,0.65,-0.09,-1.29,148.71,-140.50,-19.71,0
1,1,1,1,0,1,1.16,-0.20,-0.09,75.24,-669.83,465.11,5
1,1,1,1,0,1,0.99,0.26,-0.51,137.44,642.47,1763.24,0
1,0,1,1,0,1,0.69,0.79,-0.68,242.05,-936.74,885.08,0
1,0,1,1,0,1,0.85,0.49,-0.25,138.17,-1058.57,-647.38,0
1,1,1,1,0,1,1.01,0.26,-0.07,-37.42,-234.97,78.94,5
1,1,1,1,0,1,0.97,0.64,-0.48,120.46,-471.87,-491.67,0
1,1,1,1,0,1,0.80,-0.07,0.27,484.42,-1964.01,-1319.94,5
1,1,1,1,0,1,1.03,0.12,0.56,470.75,-610.60,-1016.73,5
1,1,1,1,1,1,1.02,-0.12,0.75,580.42,71.62,-2047.86,0
1,1,1,1,0,1,0.50,-0.84,0.16,388.34,1297.00,-725.19,0
0,1,0,1,0,1,0.60,-0.74,-0.06,226.12,545.98,1219.11,0
1,1,1,1,0,1,1.02,-0.17,-0.07,46.11,-164.24,1861.42,5
1,1,1,1,0,1,1.14,0.10,0.12,-73.63,-323.41,1280.75,5
1,1,1,1,0,1,0.76,0.03,0.15,-149.27,-85.70,1917.26,5
1,1,1,1,1,0,0.75,0.98,0.22,-11.67,-118.53,1799.13,0
1,0,1,1,1,0,0.88,0.95,0.09,133.50,-4.91,-421.02,0
1,1,1,1,1,1,0.74,0.78,-0.04,197.95,291.06,-1893.28,0
1,1,1,1,0,1,0.83,0.18,-0.03,126.18,311.58,-1054.31,5
1,1,1,1,0,1,0.93,0.21,-0.37,464.23,-447.01,-453.04,5
1,1,1,1,0,1,0.85,-0.03,0.04,279.87,-1548.47,-1097.68,5
1,1,1,1,1,1,0.75,-0.36,1.12,247.20,-597.56,-182.42,0
1,1,1,1,1,0,0.99,-0.00,0.80,238.83,1519.98,199.81,0
1,1,1,1,0,1,0.89,-0.04,-0.24,307.47,1471.22,-637.16,5
0,1,1,1,0,1,0.99,-0.39,-0.07,46.91,391.32,-111.77,5
1,1,1,1,0,1,0.99,-0.55,0.06,7.73,1062.68,807.91,5
1,1,1,1,0,1,0.91,0.24,-0.51,331.69,1561.91,1285.42,0
1,0,1,1,0,1,1.05,0.77,-0.73,11.51,315.92,-939.24,0
0,1,1,1,0,1,0.70,-0.47,-0.60,-286.63,-550.17,-1369.99,0
0,1,0,1,0,1,0.88,-0.85,-0.04,-103.64,471.47,1542.11,0
1,1,1,1,0,1,0.72,0.55,-1.11,418.92,345.45,1654.53,0
1,0,1,1,0,1,0.80,0.44,-0.61,160.46,-601.75,425.92,0
1,0,1,1,0,1,0.74,0.50,-0.74,-88.76,-1048.68,-228.05,0
1,1,1,1,0,1,0.82,0.24,-0.34,136.23,-1795.59,-1642.54,5
1,1,1,1,0,1,1.12,-0.26,0.36,520.31,-905.68,-1003.13,5
1,1,1,1,0,1,1.06,-0.24,0.14,471.23,-9.90,-403.79,5
1,1,1,1,0,1,1.02,-0.31,0.11,348.83,214.05,-583.24,5
0,1,1,1,0,1,0.93,-0.63,0.12,443.55,913.65,-140.74,0
1,1,1,1,0,1,0.66,-0.28,-0.34,362.67,1041.27,1145.08,0
1,1,1,1,0,1,1.07,0.18,-0.46,69.44,-160.21,-226.60,5
0,1,1,1,0,1,0.97,-0.42,-0.43,101.47,-528.52,-453.77,0
0,1,1,1,0,1,0.84,-0.62,-0.32,-700.40,-580.59,1800.90,0
1,1,1,1,0,1,0.86,0.70,-0.00,-545.42,-473.40,2558.60,0
1,0,1,1,0,1,1.00,0.80,-0.18,33.72,58.26,123.84,0
1,1,1,1,0,1,0.61,0.27,-0.33,-0.80,-658.40,-1261.28,0
1,1,1,1,0,1,1.03,0.09,0.47,-72.58,-944.47,-285.59,5
1,1,1,1,0,1,1.15,0.51,0.36,210.27,-391.48,-344.25,5
1,1,1,1,0,1,0.88,0.30,0.25,814.75,-222.74,-2259.26,5
1,1,1,1,0,1,0.65,-0.61,0.48,427.69,320.27,-642.23,0
1,1,1,1,0,1,0.86,-0.52,0.37,26.23,385.61,1415.53,0
1,1,1,1,0,1,1.01,0.31,0.08,-130.52,230.62,2200.67,5
1,1,1,1,0,1,0.87,0.46,-0.45,167.30,-937.87,83.93,0
1,1,1,1,1,0,0.89,0.30,1.35,719.40,-2140.64,-629.67,0
1,1,1,1,1,0,0.82,0.15,0.96,191.11,231.43,-117.40,0
1,1,1,1,1,1,0.66,0.09,0.40,231.91,2020.82,-339.18,0
1,1,1,1,0,1,0.97,0.16,-0.18,336.92,964.50,-928.70,5
1,1,1,1,0,1,0.97,-0.26,0.14,895.46,-405.24,-1569.07,5
0,1,1,1,0,1,0.68,-0.74,-0.01,148.39,165.36,-160.86,0
0,1,1,1,0,1,0.80,-0.57,0.09,-435.90,209.38,1618.00,0
1,1,1,1,0,1,0.95,0.28,0.07,-343.60,-368.55,1984.21,5
1,1,1,1,0,1,0.92,0.39,0.07,-828.11,-101.63,1510.17,5
