tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz
1,1,1,1,1,0,-0.04,-0.47,0.65,1850.15,3926.75,733.58,0
1,1,1,1,1,0,0.41,-0.31,0.70,-3159.70,1768.17,1580.49,0
1,1,1,1,1,0,0.52,-0.15,0.72,-3688.65,1469.91,1286.89,0
1,1,1,1,1,0,0.53,0.25,0.81,-2922.24,-1575.40,904.32,0
1,1,1,1,1,0,0.33,0.48,0.83,-1955.43,-2558.94,596.95,0
1,1,1,1,1,0,0.07,0.37,0.82,794.16,-2147.56,349.52,0
1,1,1,1,1,0,0.00,0.33,0.96,3848.37,-1691.70,152.31,0
1,1,1,1,1,0,-0.06,0.07,0.97,4279.45,-731.67,75.20,0
1,1,1,1,1,0,-0.14,-0.23,0.88,3690.56,1174.19,274.75,0
1,1,1,1,1,0,0.05,-0.36,0.57,108.25,1585.15,584.87,0
1,1,1,1,1,0,0.13,-0.25,0.82,-2544.96,-566.87,198.91,0
1,1,1,1,1,0,-0.01,-0.12,1.08,-1778.97,1982.76,555.85,0
1,1,1,1,1,0,0.20,0.02,1.06,-599.70,4010.00,362.87,0
1,1,1,1,1,0,0.44,0.05,0.52,155.06,2711.68,99.35,0
1,1,1,1,1,0,0.74,0.03,0.54,-162.48,-150.40,-281.74,0
1,1,1,1,1,0,0.41,0.09,0.50,-194.46,-3088.95,240.85,0
1,1,1,1,1,0,0.32,0.21,0.82,-3031.54,-799.88,442.10,0
1,1,1,1,1,0,0.31,0.48,0.76,-3584.43,-779.76,395.92,0
1,1,1,1,1,0,0.25,0.53,0.92,1816.05,26.48,-358.21,0
1,1,1,1,1,0,0.23,0.28,0.74,4605.89,-801.36,-575.55,0
1,1,1,1,1,0,0.18,0.07,0.91,2099.27,-304.62,49.15,0
1,1,1,1,1,0,0.18,-0.07,1.04,4029.49,428.96,-325.16,6
1,1,1,1,1,0,0.21,-0.38,0.66,5640.90,-98.50,-648.42,0
1,1,0,1,1,1,0.13,-0.52,0.43,-845.21,-204.84,247.21,0
