tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz
1,1,0,1,1,0,-0.11,-0.95,0.86,-3197.36,436.29,860.39,0
1,1,0,1,1,1,-0.18,-0.81,-0.03,-3992.96,522.04,-529.26,0
1,1,0,1,1,1,-0.19,-1.06,-0.21,-847.84,-144.69,-577.89,0
0,1,0,1,1,1,-0.19,-1.12,-0.24,-21.14,-965.38,-4744.41,1
0,1,0,1,1,1,0.35,-0.75,-0.17,684.77,-75.78,-3819.24,0
0,1,0,1,0,1,0.94,-0.69,0.07,-54.82,989.61,1201.82,0
0,1,0,1,0,1,0.38,-0.89,0.04,-1356.48,900.94,4406.40,0
0,1,0,1,1,1,-0.09,-1.31,-0.06,-1984.02,-1099.75,-362.06,1
0,1,0,1,1,1,0.02,-0.93,-0.55,-2108.43,-1502.54,-4058.26,0
0,1,0,1,0,1,0.62,-0.45,-0.53,-613.63,37.80,-1461.81,0
0,1,0,1,0,1,0.50,-0.63,-0.47,1416.96,1086.52,3329.68,0
0,1,0,1,0,1,0.13,-1.13,-0.17,1929.90,224.42,2249.17,0
0,1,0,1,0,1,0.10,-0.98,-0.14,1639.49,360.00,1845.35,0
1,1,0,1,1,1,-0.08,-0.77,0.19,3924.40,951.97,4178.89,0
1,1,0,1,1,0,-0.69,-1.18,0.64,927.23,262.57,1754.11,0
1,1,1,1,1,0,-0.46,-0.97,0.46,-3428.65,-63.58,-2380.45,0
1,1,0,1,1,1,-0.20,-0.75,-0.12,-3025.53,591.12,-1824.56,0
1,1,0,1,1,1,-0.21,-1.11,-0.20,-1714.93,228.03,-1130.51,0
0,1,0,1,1,1,-0.14,-0.96,-0.32,-1482.26,-145.37,-3946.22,1
0,1,0,1,0,1,0.41,-0.65,-0.55,-693.88,133.00,-2206.90,0
0,1,0,1,0,1,0.44,-0.82,-0.49,1359.05,199.67,1098.38,0
0,1,0,1,0,1,0.06,-1.04,-0.29,3458.38,85.40,-1100.96,0
0,1,0,1,0,1,0.44,-0.85,0.12,3142.03,885.99,-2100.70,0
0,1,0,1,0,1,0.68,-0.72,0.48,702.47,1308.36,371.00,0
1,1,0,1,0,1,0.55,-0.86,0.52,-1135.15,167.54,715.87,0
0,1,0,1,0,1,0.37,-0.90,0.26,-3700.50,-1665.44,643.53,0
