tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz
1,0,1,1,1,0,0.12,1.01,-0.05,57.91,-143.56,519.51,2
1,0,1,1,1,0,0.15,0.98,-0.10,710.43,-321.47,47.36,2
1,0,1,1,1,0,0.11,0.96,-0.16,463.80,131.78,-243.19,2
1,0,1,1,1,0,0.10,0.97,-0.14,-17.91,299.39,-764.91,2
1,0,1,1,1,0,0.05,1.00,-0.17,51.29,202.70,-737.18,2
1,0,1,1,1,0,0.00,0.98,-0.18,-161.47,208.10,-551.90,2
1,0,1,1,1,0,0.00,0.96,-0.16,-1147.73,23.80,353.37,2
1,0,1,1,1,0,0.03,0.98,-0.09,-1319.75,-35.58,661.60,2
1,0,1,1,1,0,0.07,0.98,-0.06,-641.72,-94.48,556.32,2
1,0,1,1,1,0,0.11,0.98,-0.03,224.05,-340.37,470.43,2
1,0,1,1,1,0,0.13,0.96,-0.09,542.33,-282.70,183.31,2
1,0,1,1,1,0,0.14,0.97,-0.13,301.84,-166.63,-44.91,2
1,0,1,1,1,0,0.12,0.96,-0.15,70.18,118.53,-401.47,2
1,0,1,1,1,0,0.08,0.96,-0.18,76.32,365.89,-707.73,2
1,0,1,1,1,1,0.03,0.92,-0.20,-153.62,540.37,-686.63,2
1,0,1,1,1,1,0.01,1.01,-0.12,-1141.35,227.73,91.53,2
1,0,1,1,1,0,0.02,0.98,-0.09,-1104.79,119.26,505.52,2
1,0,1,1,1,0,0.07,0.98,-0.05,-445.89,37.55,480.00,2
1,0,1,1,1,0,0.11,0.98,-0.05,-29.69,-375.46,530.55,2
1,0,1,1,1,0,0.17,0.92,-0.14,-5.15,-279.75,849.82,0
1,0,1,1,1,0,0.18,0.98,-0.09,800.00,176.69,-227.73,0
1,0,1,1,0,0,0.18,0.99,-0.21,389.94,287.85,-646.87,0
1,0,1,1,1,0,0.10,1.01,-0.16,-263.56,122.94,-467.24,2
1,0,1,1,1,0,0.08,0.95,-0.24,-300.37,311.17,-705.52,2
1,0,1,1,1,0,0.03,0.98,-0.13,-738.90,-286.13,187.98,2
1,0,1,1,1,0,0.05,0.98,-0.03,-726.14,-428.71,394.60,0
1,0,1,1,1,0,0.13,0.99,0.00,-754.85,-72.64,509.94,2
1,0,1,1,1,0,0.14,0.97,-0.03,626.75,-282.94,260.86,2
1,0,1,1,1,0,0.15,0.98,-0.15,520.98,426.75,-389.20,2
1,0,1,1,1,0,0.12,0.99,-0.12,-293.50,760.98,-506.26,2
1,0,1,1,1,0,0.07,1.00,-0.13,-786.50,157.55,-357.30,2
1,0,1,1,1,0,0.03,0.97,-0.07,-670.92,67.48,-231.17,0
1,0,1,1,1,0,0.07,1.00,-0.02,-793.62,-3.44,736.20,0
1,0,1,1,1,0,0.12,1.01,0.01,-390.92,-96.69,896.93,2
1,0,1,1,1,0,0.18,0.96,-0.03,610.55,-616.93,334.48,0
1,0,1,1,1,0,0.17,0.96,-0.10,532.76,-104.54,-176.44,2
1,0,1,1,1,0,0.15,0.96,-0.15,966.63,212.02,-878.77,2
1,0,1,1,1,0,0.08,0.93,-0.20,737.42,212.02,-1331.53,2
1,0,1,1,1,1,-0.00,0.97,-0.21,-907.48,267.48,-912.39,0
1,0,1,1,1,1,-0.01,0.99,-0.15,-1326.63,72.39,-461.35,0
1,0,1,1,1,1,-0.03,0.98,-0.08,-1281.23,-66.26,286.13,0
1,0,1,1,1,0,-0.00,0.99,-0.04,-465.28,-70.18,727.85,0
1,0,1,1,1,0,0.06,0.98,-0.05,-474.85,-215.71,1139.63,0
1,0,1,1,1,0,0.15,1.01,-0.02,40.74,-322.45,1202.45,2
1,0,1,1,1,0,0.21,0.97,-0.07,1286.38,-401.72,409.33,0
1,0,1,1,0,0,0.18,0.92,-0.15,696.93,-136.69,-436.56,0
1,0,1,1,0,0,0.14,0.95,-0.22,271.41,164.17,-1218.65,2
1,0,1,1,1,0,0.06,0.98,-0.20,41.47,205.15,-1527.85,2
1,0,1,1,1,0,-0.05,0.96,-0.23,-973.25,-110.43,-966.14,0
1,0,1,1,1,1,-0.06,0.99,-0.21,-1121.23,-109.45,-37.30,0
1,0,1,1,1,1,-0.04,0.97,-0.13,-1388.71,-26.26,720.49,0
1,0,1,1,1,0,-0.02,1.01,-0.01,-868.47,-144.79,975.95,0
1,0,1,1,1,0,0.06,1.00,0.01,-350.92,-131.78,1112.39,0
1,0,1,1,1,0,0.13,0.96,-0.02,556.56,-243.19,739.88,2
1,0,1,1,1,0,0.17,0.94,-0.07,1313.37,-144.05,-149.94,2
1,0,1,1,1,0,0.12,0.93,-0.20,672.88,115.09,-887.12,2
